"","name","label"
"1","respnr",NA
"2","bmemory1",NA
"3","bmemory2",NA
"4","bmmse01",NA
"5","bmmse02",NA
"6","bmmse03",NA
"7","bmmse04",NA
"8","bmmse05",NA
"9","bmmse06",NA
"10","bmmse07",NA
"11","bmmse08",NA
"12","bmmse09",NA
"13","bmmse10",NA
"14","bmmse11",NA
"15","bmmse12",NA
"16","bmmse13",NA
"17","bmmse14",NA
"18","bmmse15",NA
"19","bmmse16",NA
"20","bmmse17",NA
"21","bmmse18",NA
"22","bmmse19",NA
"23","bmmse20",NA
"24","bmmse21",NA
"25","bmmse22",NA
"26","bmmse23",NA
"27","cmemory1",NA
"28","cmemory2",NA
"29","cmmse01",NA
"30","cmmse02",NA
"31","cmmse03",NA
"32","cmmse04",NA
"33","cmmse05",NA
"34","cmmse06",NA
"35","cmmse07",NA
"36","cmmse08",NA
"37","cmmse09",NA
"38","cmmse10",NA
"39","cmmse11",NA
"40","cmmse12",NA
"41","cmmse13",NA
"42","cmmse14",NA
"43","cmmse15",NA
"44","cmmse16",NA
"45","cmmse17",NA
"46","cmmse18",NA
"47","cmmse19",NA
"48","cmmse20",NA
"49","cmmse21",NA
"50","cmmse22",NA
"51","cmmse23",NA
"52","dmemory1",NA
"53","dmemory2",NA
"54","dmmse01",NA
"55","dmmse02",NA
"56","dmmse03",NA
"57","dmmse04",NA
"58","dmmse05",NA
"59","dmmse06",NA
"60","dmmse07",NA
"61","dmmse08",NA
"62","dmmse09",NA
"63","dmmse10",NA
"64","dmmse11",NA
"65","dmmse12",NA
"66","dmmse13",NA
"67","dmmse14",NA
"68","dmmse15",NA
"69","dmmse16",NA
"70","dmmse17",NA
"71","dmmse18",NA
"72","dmmse19",NA
"73","dmmse20",NA
"74","dmmse21",NA
"75","dmmse22",NA
"76","dmmse23",NA
"77","ememory1",NA
"78","ememory2",NA
"79","emmse01",NA
"80","emmse02",NA
"81","emmse03",NA
"82","emmse04",NA
"83","emmse05",NA
"84","emmse06",NA
"85","emmse07",NA
"86","emmse08",NA
"87","emmse09",NA
"88","emmse10",NA
"89","emmse11",NA
"90","emmse12",NA
"91","emmse13",NA
"92","emmse14",NA
"93","emmse15",NA
"94","emmse16",NA
"95","emmse17",NA
"96","emmse18",NA
"97","emmse19",NA
"98","emmse20",NA
"99","emmse21",NA
"100","emmse22",NA
"101","emmse23",NA
"102","fmemory1",NA
"103","fmemory2",NA
"104","fmmse01",NA
"105","fmmse02",NA
"106","fmmse03",NA
"107","fmmse04",NA
"108","fmmse05",NA
"109","fmmse06",NA
"110","fmmse07",NA
"111","fmmse08",NA
"112","fmmse09",NA
"113","fmmse10",NA
"114","fmmse11",NA
"115","fmmse12",NA
"116","fmmse13",NA
"117","fmmse14",NA
"118","fmmse15",NA
"119","fmmse16",NA
"120","fmmse17",NA
"121","fmmse18",NA
"122","fmmse19",NA
"123","fmmse20",NA
"124","fmmse21",NA
"125","fmmse22",NA
"126","fmmse23",NA
"127","gmemory1",NA
"128","gmemory2",NA
"129","gmmse01",NA
"130","gmmse02",NA
"131","gmmse03",NA
"132","gmmse04",NA
"133","gmmse05",NA
"134","gmmse06",NA
"135","gmmse07",NA
"136","gmmse08",NA
"137","gmmse09",NA
"138","gmmse10",NA
"139","gmmse11",NA
"140","gmmse12",NA
"141","gmmse13",NA
"142","gmmse14",NA
"143","gmmse15",NA
"144","gmmse16",NA
"145","gmmse17",NA
"146","gmmse18",NA
"147","gmmse19",NA
"148","gmmse20",NA
"149","gmmse21",NA
"150","gmmse22",NA
"151","gmmse23",NA
"152","hmemory1",NA
"153","hmemory2",NA
"154","hmmse01",NA
"155","hmmse02",NA
"156","hmmse03",NA
"157","hmmse04",NA
"158","hmmse05",NA
"159","hmmse06",NA
"160","hmmse07",NA
"161","hmmse08",NA
"162","hmmse09",NA
"163","hmmse10",NA
"164","hmmse11",NA
"165","hmmse12",NA
"166","hmmse13",NA
"167","hmmse14",NA
"168","hmmse15",NA
"169","hmmse16",NA
"170","hmmse17",NA
"171","hmmse18",NA
"172","hmmse19",NA
"173","hmmse20",NA
"174","hmmse21",NA
"175","hmmse22",NA
"176","hmmse23",NA
