name,label,name_new,include,label_short,longitudinal
fmmse08,NA,mmse_08_05,TRUE,,TRUE
fmmse09,NA,mmse_09_05,TRUE,,TRUE
fmmse10,NA,mmse_10_05,TRUE,,TRUE
fmmse11,NA,mmse_11_05,TRUE,,TRUE
fmmse12,NA,mmse_12_05,TRUE,,TRUE
fmmse13,NA,mmse_13_05,TRUE,,TRUE
fmmse14,NA,mmse_14_05,TRUE,,TRUE
fmmse15,NA,mmse_15_05,TRUE,,TRUE
fmmse16,NA,mmse_16_05,TRUE,,TRUE
fmmse17,NA,mmse_17_05,TRUE,,TRUE
fmmse18,NA,mmse_18_05,TRUE,,TRUE
fmmse19,NA,mmse_19_05,TRUE,,TRUE
fmmse20,NA,mmse_20_05,TRUE,,TRUE
fmmse21,NA,mmse_21_05,TRUE,,TRUE
fmmse22,NA,mmse_22_05,TRUE,,TRUE
fmmse23,NA,mmse_23_05,TRUE,,TRUE
gmemory1,NA,memory_01_06,,,TRUE
gmemory2,NA,memory_02_06,,,TRUE
gmmse01,NA,mmse_01_06,TRUE,,TRUE
gmmse02,NA,mmse_02_06,TRUE,,TRUE
gmmse03,NA,mmse_03_06,TRUE,,TRUE
gmmse04,NA,mmse_04_06,TRUE,,TRUE
gmmse05,NA,mmse_05_06,TRUE,,TRUE
gmmse06,NA,mmse_06_06,TRUE,,TRUE
gmmse07,NA,mmse_07_06,TRUE,,TRUE
gmmse08,NA,mmse_08_06,TRUE,,TRUE
gmmse09,NA,mmse_09_06,TRUE,,TRUE
gmmse10,NA,mmse_10_06,TRUE,,TRUE
gmmse11,NA,mmse_11_06,TRUE,,TRUE
gmmse12,NA,mmse_12_06,TRUE,,TRUE
gmmse13,NA,mmse_13_06,TRUE,,TRUE
gmmse14,NA,mmse_14_06,TRUE,,TRUE
gmmse15,NA,mmse_15_06,TRUE,,TRUE
gmmse16,NA,mmse_16_06,TRUE,,TRUE
gmmse17,NA,mmse_17_06,TRUE,,TRUE
gmmse18,NA,mmse_18_06,TRUE,,TRUE
gmmse19,NA,mmse_19_06,TRUE,,TRUE
gmmse20,NA,mmse_20_06,TRUE,,TRUE
gmmse21,NA,mmse_21_06,TRUE,,TRUE
gmmse22,NA,mmse_22_06,TRUE,,TRUE
gmmse23,NA,mmse_23_06,TRUE,,TRUE
hmemory1,NA,memory_01_07,,,TRUE
hmemory2,NA,memory_02_07,,,TRUE
hmmse01,NA,mmse_01_07,TRUE,,TRUE
hmmse02,NA,mmse_02_07,TRUE,,TRUE
hmmse03,NA,mmse_03_07,TRUE,,TRUE
hmmse04,NA,mmse_04_07,TRUE,,TRUE
hmmse05,NA,mmse_05_07,TRUE,,TRUE
hmmse06,NA,mmse_06_07,TRUE,,TRUE
hmmse07,NA,mmse_07_07,TRUE,,TRUE
hmmse08,NA,mmse_08_07,TRUE,,TRUE
hmmse09,NA,mmse_09_07,TRUE,,TRUE
hmmse10,NA,mmse_10_07,TRUE,,TRUE
hmmse11,NA,mmse_11_07,TRUE,,TRUE
hmmse12,NA,mmse_12_07,TRUE,,TRUE
hmmse13,NA,mmse_13_07,TRUE,,TRUE
hmmse14,NA,mmse_14_07,TRUE,,TRUE
hmmse15,NA,mmse_15_07,TRUE,,TRUE
hmmse16,NA,mmse_16_07,TRUE,,TRUE
hmmse17,NA,mmse_17_07,TRUE,,TRUE
hmmse18,NA,mmse_18_07,TRUE,,TRUE
hmmse19,NA,mmse_19_07,TRUE,,TRUE
hmmse20,NA,mmse_20_07,TRUE,,TRUE
hmmse21,NA,mmse_21_07,TRUE,,TRUE
hmmse22,NA,mmse_22_07,TRUE,,TRUE
hmmse23,NA,mmse_23_07,TRUE,,TRUE
