name,label,name_new,include,label_short,longitudinal
respnr,NA,id,TRUE,NA,FALSE
bmemory1,NA,memory_01_01,,,TRUE
bmemory2,NA,memory_02_01,,,TRUE
bmmse01,NA,mmse_01_01,TRUE,,TRUE
bmmse02,NA,mmse_02_01,TRUE,,TRUE
bmmse03,NA,mmse_03_01,TRUE,,TRUE
bmmse04,NA,mmse_04_01,TRUE,,TRUE
bmmse05,NA,mmse_05_01,TRUE,,TRUE
bmmse06,NA,mmse_06_01,TRUE,,TRUE
bmmse07,NA,mmse_07_01,TRUE,,TRUE
bmmse08,NA,mmse_08_01,TRUE,,TRUE
bmmse09,NA,mmse_09_01,TRUE,,TRUE
bmmse10,NA,mmse_10_01,TRUE,,TRUE
bmmse11,NA,mmse_11_01,TRUE,,TRUE
bmmse12,NA,mmse_12_01,TRUE,,TRUE
bmmse13,NA,mmse_13_01,TRUE,,TRUE
bmmse14,NA,mmse_14_01,TRUE,,TRUE
bmmse15,NA,mmse_15_01,TRUE,,TRUE
bmmse16,NA,mmse_16_01,TRUE,,TRUE
bmmse17,NA,mmse_17_01,TRUE,,TRUE
bmmse18,NA,mmse_18_01,TRUE,,TRUE
bmmse19,NA,mmse_19_01,TRUE,,TRUE
bmmse20,NA,mmse_20_01,TRUE,,TRUE
bmmse21,NA,mmse_21_01,TRUE,,TRUE
bmmse22,NA,mmse_22_01,TRUE,,TRUE
bmmse23,NA,mmse_23_01,TRUE,,TRUE
cmemory1,NA,memory_01_02,,,TRUE
cmemory2,NA,memory_02_02,,,TRUE
cmmse01,NA,mmse_01_02,TRUE,,TRUE
cmmse02,NA,mmse_02_02,TRUE,,TRUE
cmmse03,NA,mmse_03_02,TRUE,,TRUE
cmmse04,NA,mmse_04_02,TRUE,,TRUE
cmmse05,NA,mmse_05_02,TRUE,,TRUE
cmmse06,NA,mmse_06_02,TRUE,,TRUE
cmmse07,NA,mmse_07_02,TRUE,,TRUE
cmmse08,NA,mmse_08_02,TRUE,,TRUE
cmmse09,NA,mmse_09_02,TRUE,,TRUE
cmmse10,NA,mmse_10_02,TRUE,,TRUE
cmmse11,NA,mmse_11_02,TRUE,,TRUE
cmmse12,NA,mmse_12_02,TRUE,,TRUE
cmmse13,NA,mmse_13_02,TRUE,,TRUE
cmmse14,NA,mmse_14_02,TRUE,,TRUE
cmmse15,NA,mmse_15_02,TRUE,,TRUE
cmmse16,NA,mmse_16_02,TRUE,,TRUE
cmmse17,NA,mmse_17_02,TRUE,,TRUE
cmmse18,NA,mmse_18_02,TRUE,,TRUE
cmmse19,NA,mmse_19_02,TRUE,,TRUE
cmmse20,NA,mmse_20_02,TRUE,,TRUE
cmmse21,NA,mmse_21_02,TRUE,,TRUE
cmmse22,NA,mmse_22_02,TRUE,,TRUE
cmmse23,NA,mmse_23_02,TRUE,,TRUE
dmemory1,NA,memory_01_03,,,TRUE
dmemory2,NA,memory_02_03,,,TRUE
dmmse01,NA,mmse_01_03,TRUE,,TRUE
dmmse02,NA,mmse_02_03,TRUE,,TRUE
dmmse03,NA,mmse_03_03,TRUE,,TRUE
dmmse04,NA,mmse_04_03,TRUE,,TRUE
dmmse05,NA,mmse_05_03,TRUE,,TRUE
dmmse06,NA,mmse_06_03,TRUE,,TRUE
dmmse07,NA,mmse_07_03,TRUE,,TRUE
dmmse08,NA,mmse_08_03,TRUE,,TRUE
dmmse09,NA,mmse_09_03,TRUE,,TRUE
dmmse10,NA,mmse_10_03,TRUE,,TRUE
dmmse11,NA,mmse_11_03,TRUE,,TRUE
dmmse12,NA,mmse_12_03,TRUE,,TRUE
dmmse13,NA,mmse_13_03,TRUE,,TRUE
dmmse14,NA,mmse_14_03,TRUE,,TRUE
dmmse15,NA,mmse_15_03,TRUE,,TRUE
dmmse16,NA,mmse_16_03,TRUE,,TRUE
dmmse17,NA,mmse_17_03,TRUE,,TRUE
dmmse18,NA,mmse_18_03,TRUE,,TRUE
dmmse19,NA,mmse_19_03,TRUE,,TRUE
dmmse20,NA,mmse_20_03,TRUE,,TRUE
dmmse21,NA,mmse_21_03,TRUE,,TRUE
dmmse22,NA,mmse_22_03,TRUE,,TRUE
dmmse23,NA,mmse_23_03,TRUE,,TRUE
ememory1,NA,memory_01_04,,,TRUE
ememory2,NA,memory_02_04,,,TRUE
emmse01,NA,mmse_01_04,TRUE,,TRUE
emmse02,NA,mmse_02_04,TRUE,,TRUE
emmse03,NA,mmse_03_04,TRUE,,TRUE
emmse04,NA,mmse_04_04,TRUE,,TRUE
emmse05,NA,mmse_05_04,TRUE,,TRUE
emmse06,NA,mmse_06_04,TRUE,,TRUE
emmse07,NA,mmse_07_04,TRUE,,TRUE
emmse08,NA,mmse_08_04,TRUE,,TRUE
emmse09,NA,mmse_09_04,TRUE,,TRUE
emmse10,NA,mmse_10_04,TRUE,,TRUE
emmse11,NA,mmse_11_04,TRUE,,TRUE
emmse12,NA,mmse_12_04,TRUE,,TRUE
emmse13,NA,mmse_13_04,TRUE,,TRUE
emmse14,NA,mmse_14_04,TRUE,,TRUE
emmse15,NA,mmse_15_04,TRUE,,TRUE
emmse16,NA,mmse_16_04,TRUE,,TRUE
emmse17,NA,mmse_17_04,TRUE,,TRUE
emmse18,NA,mmse_18_04,TRUE,,TRUE
emmse19,NA,mmse_19_04,TRUE,,TRUE
emmse20,NA,mmse_20_04,TRUE,,TRUE
emmse21,NA,mmse_21_04,TRUE,,TRUE
emmse22,NA,mmse_22_04,TRUE,,TRUE
emmse23,NA,mmse_23_04,TRUE,,TRUE
fmemory1,NA,memory_01_05,,,TRUE
fmemory2,NA,memory_02_05,,,TRUE
fmmse01,NA,mmse_01_05,TRUE,,TRUE
fmmse02,NA,mmse_02_05,TRUE,,TRUE
fmmse03,NA,mmse_03_05,TRUE,,TRUE
fmmse04,NA,mmse_04_05,TRUE,,TRUE
fmmse05,NA,mmse_05_05,TRUE,,TRUE
fmmse06,NA,mmse_06_05,TRUE,,TRUE
fmmse07,NA,mmse_07_05,TRUE,,TRUE
